Name	Description	Tags	Categories	Entity Map
NEFT	National Electronic Fund Transfer	Payment,Transfer	Fraud,Complaint,Charges,Harassment	{"Payment":"NEFT","Transfer":"NEFT"}
UPI	Unified Payments Interface	Payment,Transfer	Fraud,Complaint,Charges,Harassment	{"Payment":"UPI","Transfer":"UPI"}
RTGS	Real Time Gross Settlement	Payment,Transfer	Fraud,Complaint,Charges,Harassment	{"Payment":"RTGS","Transfer":"RTGS"}
NRE	Non Resident External	Account Type	Complaint,Charges,Harassment	{"Account Type":"NRE"}
NRO	Non Resident Ordinary	Account Type	Complaint,Charges,Harassment	{"Account Type":"NRO"}
NRI	Non Resident Indian	Account Type	Complaint,Charges,Harassment	{"Account Type":"NRI"}
FCNR	FCNR	Account Type	Complaint,Charges,Harassment	{"Account Type":"FCNR"}
IMPS	Immediate Payment Service	Payment,Transfer	Fraud,Complaint,Charges,Harassment	{"Payment":"IMPS","Transfer":"IMPS"}
KYC	Know Your Customer	Identification	Fraud,Complaint,Harassment	{"Identification":"KYC"}
OTP	One Time Password	Service,Security	Fraud,Complaint,Access,Delay	{"Service":"OTP","Security":"OTP"}
ATM	Automated Teller Machine	Service,Card,Payment	Fraud,Complaint,Charges,Harassment	{"Service":"ATM","Card":"ATM","Payment":"ATM"}
PoS	Point of Sale	Payment	Complaint	{"Payment":"PoS"}
IPO	Initial Public Offering	Stock Market	Complaint	{"Stock Market":"IPO"}
Ombudsman	Banking Ombudsman	RBI	Complaint,Service,Harassment	{"Service":"Ombudsman", "RBI": "Ombudsman"}
QR Code		Payment,Transfer	Fraud,Complaint,Harassment	{"Payment":"QR Code","Transfer":"QR Code"}
QR		Payment,Transfer	Fraud,Complaint,Harassment	{"Payment":"QR Code","Transfer":"QR Code"}
MFA		Service,Security	Fraud	{"Service":"MFA","Security":"MFA"}
2FA		Service,Security	Fraud	{"Service":"2FA","Security":"2FA"}
SMS		Service,Security	Fraud,Complaint,Access,Delay	{"Service":"SMS","Security":"SMS"}
MTS	Mass Transit Systems	Payment,Transfer	Fraud,Complaint,Charges	{"Payment":"MTS","Transfer":"MTS"}
MTSS	Money Transfer Service Scheme	Payment,Transfer	Fraud,Complaint,Charges	{"Payment":"MTSS","Transfer":"MTSS"}
Wallet		Payment,Transfer	Fraud,Complaint,Charges	{"Payment":"Wallet","Transfer":"Wallet"}
EMI		Loan,Payment	Complaint,Charges	{"Loan":"EMI","Payment":"EMI"}
